Articulo,Cliente,Direccion,Latitud,Longitud
Paquete Electrónica 3kg,Juan Pérez,Av. Winston Churchill 1099,18.4712,-69.9405
Caja Documentos Legales,María Gómez,Av. 27 de Febrero 450,18.4764,-69.9281
Monitor LED 27 pulg,Tech Solutions SRL,Av. John F. Kennedy 800,18.4893,-69.9356
Suministros Médicos,Farmacia Central,Av. Abraham Lincoln 702,18.4735,-69.9324
Ropa y Calzado Deportivo,Carlos Mendoza,Calle El Conde 310,18.4731,-69.8864
Herramientas Eléctricas,Ferretería El Progreso,Av. San Vicente de Paúl 12,18.5023,-69.8512
Componentes de Red,DataNet Dominicana,Av. Lope de Vega 29,18.4751,-69.9348
Repuestos Automotrices,Taller Rodríguez,Av. Máximo Gómez 144,18.4811,-69.9123
Libros Universitarios,Librería Cuesta,Av. 27 de Febrero esq. Lincoln,18.4758,-69.9311
Insumos de Impresión,Imprenta Moderna,Calle Roberto Pastoriza 214,18.4729,-69.9362
Electrodomésticos Pequeños,Distribuidora Corripio,Av. John F. Kennedy km 6.5,18.4912,-69.9451
Cosméticos y Cuidado,Salón Belleza VIP,Av. Sarasota 45,18.4552,-69.9482
Muestras de Laboratorio,Laboratorio Referencia,Av. Luperón 100,18.4612,-69.9721
Alimentos No Perecederos,Supermercado Bravo,Av. Enriquillo 88,18.4489,-69.9615
Artículos de Oficina,Oficinas Corporativas Torre Piantini,Av. Gustavo Mejía Ricart 102,18.4745,-69.9388
